Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,2u2,
C10,0402,1,10n,
"C11, C12",0402,2,10p,
"C13, C15, C20, C4, C5, C6, C7, C8",0402,8,100n,
"C14, C16, C17",1206,3,10u,
"C18, C21, C22",1206,3,22u,
C19,0402,1,22n,
C3,0603,1,4u7,
C9,0402,1,1u,
D1,0603,1,BLUE,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D4,D_SMA,1,B140-E3,
"H1, H2, H4",MountingHole_4.3mm_M4_Pad_Via,3,MountingHole_Pad,
H3,MountingHole_4.3mm_M4_Pad_Via,1,MountingHole_Pad,
J1,PinHeader_1x02_P2.54mm_Vertical,1,5v Out,
"J10, J11, J13, J14",AMASS_XT60-F_1x02_P7.20mm_Vertical,4,XT60 OUT,
"J2, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
"J5, J6",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
J7,PinHeader_2x05_P1.27mm_Vertical,1,SWD,
J8,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,XT60 IN,
J9,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
L1,0402,1,39n,
L2,L_Sunlord_MWSA0603S,1,15u,C340242
L3,L_Sunlord_SWPA6045S,1,6u8,C334250
"R1, R10, R12, R16, R17, R18, R9",0603,7,10k,
R11,0603,1,90k9,
"R13, R14, R3, R4, R5, R6",0603,6,1k5,
R15,0603,1,500,
R19,0603,1,11k,
R2,0402,1,47,
R20,0603,1,21k5,
R21,0603,1,32k,
R22,0603,1,10k,C25804
"R23, R7",0603,2,1k,C21190
R8,0603,1,31k6,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm,1,MP2303ADN,
U3,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
U4,SOT-23-6,1,MCP16301,
"U5, U6",21-0172_T3857-1C_MXM,2,MAX22205ATU+,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
