Designator,Mid X,Mid Y,Rotation,Layer
C1,128.225,-143.25,0.0,top
C10,116.05,-137.42,90.0,top
C11,112.47,-130.5,0.0,top
C12,115.0,-131.993,90.0,top
C13,119.501582,-121.394,90.0,top
C14,140.0,-145.725,90.0,top
C15,146.8,-144.4,270.0,top
C16,151.475,-157.097,180.0,top
C17,151.475,-154.097,180.0,top
C18,143.653581,-131.0,0.0,top
C19,141.55,-116.82,90.0,top
C2,131.25,-131.025,90.0,top
C20,146.653581,-124.655,270.0,top
C21,152.178581,-130.0,180.0,top
C22,152.178581,-133.0,180.0,top
C3,117.225,-129.25,180.0,top
C4,117.02,-130.75,180.0,top
C5,120.5,-143.0,180.0,top
C6,128.866581,-141.75,0.0,top
C7,129.5,-130.23,90.0,top
C8,119.81,-128.263,0.0,top
C9,115.0,-137.42,90.0,top
D1,117.346581,-142.0505,90.0,top
D2,152.5,-141.5,0.0,top
D4,149.02,-149.0,270.0,top
J1,153.613581,-116.735,0.0,top
J10,133.8,-178.6,270.0,top
J11,145.0,-178.8,270.0,top
J13,110.8,-178.8,270.0,top
J14,121.8,-178.8,270.0,top
J2,97.359581,-145.305,0.0,top
J4,102.185581,-145.305,0.0,top
J5,97.359581,-135.414,0.0,top
J6,97.359581,-155.216,180.0,top
J7,97.475,-127.54,0.0,top
J8,137.0,-104.0,180.0,top
J9,115.6,-103.675,180.0,top
L1,113.464,-137.899,0.0,top
L2,155.0,-148.025,270.0,top
L3,152.0,-124.0,0.0,top
R1,103.828,-119.153,180.0,top
R10,137.653581,-120.0,180.0,top
R11,135.653581,-117.175,270.0,top
R12,139.653581,-117.175,90.0,top
R13,106.694581,-144.045,180.0,top
R14,106.694581,-146.585,180.0,top
R15,101.740581,-134.139,180.0,top
R16,115.2,-113.0,0.0,top
R17,118.5,-113.0,0.0,top
R18,121.825,-113.0,0.0,top
R19,114.421582,-110.563,270.0,top
R2,115.49,-134.763,180.0,top
R20,117.723582,-110.563,270.0,top
R21,121.25,-110.563,270.0,top
R22,111.925,-113.0,0.0,top
R23,112.7,-110.6,270.0,top
R3,115.346581,-142.088,90.0,top
R4,117.853581,-121.049,90.0,top
R5,115.853581,-121.049,90.0,top
R6,113.853581,-121.049,90.0,top
R7,110.9,-110.6,270.0,top
R8,146.0,-140.375,90.0,top
R9,144.0,-140.375,270.0,top
SW1,98.57,-118.367,270.0,top
U1,123.521581,-135.663,270.0,top
U2,142.613581,-124.66,0.0,top
U3,116.75,-117.25,90.0,top
U4,143.95,-145.0625,90.0,top
U5,139.5,-165.5,270.0,top
U6,116.5,-165.5,270.0,top
Y1,112.55,-133.263,270.0,top
